gppd_idnr,elevation_meters
AUS0000082,105
AUS0000268,6
AUS0000305,288
AUS0000477,281
AUS0000079,25
AUS0000180,22
AUS0000269,361
AUS0000078,27
AUS0000461,5
AUS0000416,51
AUS0000300,307
AUS0000048,356
AUS0000181,5
AUS0000182,21
AUS0000127,690
AUS0000438,19
AUS0000178,269
AUS0000177,251
AUS0000176,244
AUS0000414,76
AUS0000330,28
AUS0000452,260
AUS0000064,19
AUS0000007,35
AUS0000462,12
AUS0000112,65
AUS0000111,77
AUS0000457,35
AUS0000110,47
AUS0000047,876
AUS0000270,17
AUS0000386,9
AUS0000126,140
AUS0000063,118
AUS0000415,418
AUS0000144,201
AUS0000006,489
AUS0000261,13
AUS0000401,105
AUS0000221,433
AUS0000083,46
AUS0000025,189
AUS0000324,462
AUS0000103,556
AUS0000125,100
AUS0000183,2
AUS0000015,14
AUS0000307,418
AUS0000184,256
AUS0000208,245
AUS0000179,201
AUS0000271,7
AUS0000154,359
AUS0000263,5
AUS0000301,473
AUS0000351,17
AUS0000336,17
AUS0000046,937
AUS0000003,833
AUS0000155,350
AUS0000185,7
AUS0000156,372
AUS0000321,460
AUS0000109,365
AUS0000353,15
AUS0000366,19
AUS0000136,94
AUS0000459,367
AUS0000233,7
AUS0000272,4
AUS0000045,53
AUS0000044,52
AUS0000084,229
AUS0000335,218
AUS0000043,138
AUS0000085,80
AUS0000273,22
AUS0000306,33
AUS0000186,41
AUS0000042,87
AUS0000391,100
AUS0000372,10
AUS0000135,467
AUS0000367,114
AUS0000274,365
AUS0000187,27
AUS0000157,204
AUS0000158,17
AUS0000275,219
AUS0000276,77
AUS0000418,91
AUS0000143,307
AUS0000331,43
AUS0000041,35
AUS0000309,137
AUS0000474,242
AUS0000040,880
AUS0000303,1343
AUS0000077,39
AUS0000250,553
AUS0000022,681
AUS0000453,663
AUS0000023,648
AUS0000455,637
AUS0000024,691
AUS0000454,548
AUS0000368,418
AUS0000087,85
AUS0000355,11
AUS0000343,145
AUS0000419,148
AUS0000412,45
AUS0000413,51
AUS0000076,180
AUS0000277,56
AUS0000278,142
AUS0000145,18
AUS0000056,9
AUS0000159,97
AUS0000039,109
AUS0000088,95
AUS0000089,92
AUS0000021,874
AUS0000134,54
AUS0000038,367
AUS0000222,574
AUS0000332,4
AUS0000160,12
AUS0000329,38
AUS0000405,180
AUS0000188,373
AUS0000209,363
AUS0000210,317
AUS0000279,209
AUS0000161,259
AUS0000189,34
AUS0000259,109
AUS0000211,26
AUS0000449,92
AUS0000162,341
AUS0000055,727
AUS0000370,46
AUS0000194,12
AUS0000190,15
AUS0000196,4
AUS0000191,12
AUS0000192,2
AUS0000193,7
AUS0000195,12
AUS0000197,9
AUS0000244,68
AUS0000062,20
AUS0000124,689
AUS0000086,75
AUS0000304,311
AUS0000099,407
AUS0000252,19
AUS0000371,459
AUS0000219,429
AUS0000090,19
AUS0000460,364
AUS0000212,525
AUS0000132,241
AUS0000341,737
AUS0000409,375
AUS0000223,370
AUS0000123,262
AUS0000280,144
AUS0000473,134
AUS0000091,27
AUS0000234,85
AUS0000131,356
AUS0000338,311
AUS0000092,135
AUS0000075,125
AUS0000037,113
AUS0000036,163
AUS0000035,163
