gppd_idnr,elevation_meters
WRI1029423,530
WRI1029606,314
WRI1029515,398
WRI1029451,397
WRI1029747,516
WRI1029746,520
WRI1029475,276
WRI1029445,265
WRI1029552,530
WRI1029628,389
WRI1029627,382
WRI1029656,410
WRI1029771,371
WRI1029595,227
WRI1029737,617
WRI1029485,203
WRI1029638,215
WRI1029626,433
WRI1029619,328
WRI1029711,252
WRI1029639,329
WRI1019179,675
WRI1029793,374
WRI1029704,360
WRI1029436,203
WRI1029486,223
WRI1029651,189
WRI1029644,187
WRI1029539,345
WRI1029760,304
WRI1029461,420
WRI1029527,237
WRI1029783,194
WRI1029808,493
WRI1029769,427
WRI1029501,465
WRI1029392,309
WRI1029584,266
WRI1029786,459
WRI1029528,318
WRI1029511,396
WRI1029510,433
WRI1029722,264
WRI1029549,167
WRI1029668,441
WRI1029740,337
WRI1029437,573
WRI1029629,465
WRI1029634,222
WRI1029513,780
WRI1029435,343
WRI1029543,241
WRI1029508,235
WRI1029615,532
WRI1029616,484
WRI1029585,208
WRI1029416,537
WRI1019174,510
WRI1029702,414
WRI1019171,411
WRI1029647,265
WRI1029555,400
WRI1029572,456
WRI1029757,409
WRI1019172,154
WRI1029642,205
WRI1029716,174
WRI1029691,430
WRI1019173,299
WRI1029546,165
WRI1029807,513
WRI1029589,357
WRI1029386,217
WRI1029447,177
WRI1029450,174
WRI1029752,409
WRI1029690,397
WRI1029792,464
WRI1029700,360
WRI1029701,349
WRI1029732,193
WRI1029519,554
WRI1029597,315
WRI1029741,270
WRI1029415,489
WRI1029483,180
WRI1029759,311
WRI1029718,208
WRI1029800,234
WRI1029536,301
WRI1029801,346
WRI1029712,215
WRI1029637,362
WRI1029640,187
WRI1029751,483
WRI1029761,861
WRI1029788,420
WRI1029582,246
WRI1029659,509
WRI1029588,166
WRI1029559,393
WRI1029625,389
WRI1029390,173
WRI1029686,406
WRI1029672,403
WRI1029796,266
WRI1029692,346
WRI1029425,394
WRI1029560,330
WRI1029563,331
WRI1029534,313
WRI1029731,253
WRI1029782,485
WRI1029492,220
WRI1029781,240
WRI1019223,484
WRI1029391,463
WRI1029470,171
WRI1029608,412
WRI1029780,304
WRI1029734,329
WRI1029605,369
WRI1019207,215
WRI1029693,197
WRI1029514,518
WRI1029678,263
WRI1029723,298
WRI1029489,202
WRI1029804,392
WRI1029598,450
WRI1029430,465
WRI1029412,400
WRI1029467,483
WRI1029530,269
WRI1029654,523
WRI1029398,264
WRI1029594,249
WRI1029591,248
WRI1029535,271
WRI1029495,489
WRI1029503,488
WRI1029496,485
WRI1029504,487
WRI1029593,349
WRI1029617,506
WRI1029526,235
WRI1029719,243
WRI1029573,450
WRI1029689,443
WRI1019180,214
WRI1019202,214
WRI1029574,186
WRI1029669,450
WRI1029635,252
WRI1029643,186
WRI1029776,358
WRI1029433,469
WRI1029491,257
WRI1029586,181
WRI1029736,266
WRI1029753,403
WRI1061234,11
WRI1061233,283
WRI1000003,153
WRI1061235,654
WRI1000004,972
WRI1023508,1115
WRI1061232,375
WRI1000005,1040
WRI1000006,981
WRI1000007,1334
WRI1023507,7
WRI1061238,1234
WRI1000009,1420
WRI1000010,375
WRI1061236,375
WRI1029995,0
WRI1022036,12
WRI1022033,0
WRI1022027,9
WRI1022026,2
WRI1029998,0
WRI1002293,4
WRI1022031,14
WRI1022035,9
WRI1029999,0
WRI1022032,5
WRI1022043,11
WRI1002295,-2
WRI1022044,48
WRI1002296,0
WRI1002297,0
WRI1022038,0
WRI1002298,1
WRI1022030,1
WRI1030005,17
WRI1029997,0
WRI1022029,14
WRI1002300,1
WRI1022042,4
WRI1002302,8
WRI1022040,0
WRI1022039,0
WRI1030000,0
WRI1030001,0
WRI1022034,8
WRI1030004,19
WRI1030002,0
WRI1022037,6
WRI1022028,9
WRI1022045,5
WRI1030003,0
WRI1029996,0
WRI1023066,7
WRI1001993,18
WRI1023732,10
WRI1001998,6
WRI1001978,5
WRI1023731,517
WRI1023729,21
WRI1001980,18
WRI1001999,75
WRI1001986,5
WRI1002011,793
WRI1001994,22
WRI1001990,5
WRI1002009,312
WRI1018590,4081
WRI1018591,11
WRI1018594,3224
WRI1018595,1366
WRI1018598,7
WRI1018599,1236
WRI1018603,45
WRI1018604,19
WRI1022989,28
WRI1018606,7
WRI1018607,2851
WRI1018608,2414
WRI1022990,527
WRI1018615,2794
WRI1018618,818
WRI1018624,3049
WRI1018625,3024
WRI1018626,2673
WRI1018627,12
WRI1022992,1993
WRI1000099,7
WRI1000077,10
WRI1000083,8
WRI1000104,57
WRI1000107,143
WRI1000076,17
WRI1000094,13
WRI1000070,17
WRI1000069,25
WRI1000068,22
WRI1000096,3
WRI1000075,6
WRI1000081,1
WRI1000093,7
WRI1000097,2
WRI1000071,25
WRI1000108,75
WRI1000106,143
WRI1000086,14
WRI1000095,1
WRI1000098,0
WRI1000103,30
WRI1000105,60
WRI1000092,5
WRI1000101,7
WRI1000109,69
WRI1000080,2
WRI1000079,40
WRI1000074,15
WRI1000091,6
WRI1000073,54
WRI1000084,14
WRI1000082,4
WRI1000089,3
WRI1000078,43
WRI1000085,44
WRI1000067,28
WRI1000100,6
WRI1000088,4
WRI1000090,9
WRI1000072,48
WRI1000102,57
WRI1000087,38
GEODB0043611,53
GEODB0043614,34
GEODB0043615,775
GEODB0043616,626
GEODB0043609,193
GEODB0043610,167
GEODB0043608,403
GEODB0043612,510
WRI1023067,15
WRI1023068,647
WRI1023069,50
WRI1023070,2385
WRI1023071,8
WRI1022399,38
WRI1022401,10
WRI1022392,39
WRI1022393,49
WRI1022396,43
WRI1022394,51
WRI1022404,27
WRI1022400,38
WRI1022397,28
WRI1022403,34
WRI1022409,2
WRI1022405,16
WRI1022402,7
WRI1022408,3
WRI1022406,3
WRI1022407,4
WRI1022398,62
WRI1000065,1923
WRI1022987,1910
WRI1000055,1489
WRI1000056,1760
WRI1000057,2225
WRI1000058,2225
WRI1000059,1665
WRI1000060,1015
WRI1022986,843
WRI1000061,1569
WRI1000062,2301
WRI1000063,1021
WRI1000064,1620
WRI1061467,235
WRI1061458,9
WRI1061474,6
WRI1061473,2
WRI1061476,626
WRI1061478,10
WRI1061475,63
WRI1061465,172
WRI1061457,14
WRI1061469,741
WRI1061468,947
WRI1061477,0
WRI1002305,17
WRI1002307,149
WRI1002308,83
WRI1002313,17
WRI1002314,103
WRI1002318,110
WRI1002631,165
WRI1002319,0
WRI1002320,103
WRI1002321,92
WRI1002322,92
WRI1002323,40
WRI1002325,19
WRI1002326,66
WRI1002330,37
WRI1002329,37
WRI1002332,89
WRI1002333,89
WRI1002334,0
WRI1002335,93
WRI1002338,108
WRI1002339,112
WRI1002670,11
WRI1002622,50
WRI1002343,88
WRI1002630,77
WRI1002348,110
WRI1002350,66
WRI1002352,37
WRI1002354,206
WRI1002355,0
WRI1002357,140
WRI1002356,140
WRI1002358,102
WRI1002360,103
WRI1002361,232
WRI1002362,156
WRI1002363,14
WRI1002364,107
WRI1002368,48
WRI1002369,64
WRI1002370,137
WRI1002371,94
WRI1002372,19
WRI1002375,105
WRI1002378,103
WRI1002381,184
WRI1002382,64
WRI1002384,48
WRI1002385,146
WRI1002386,26
WRI1002387,64
WRI1002388,186
WRI1002390,14
WRI1002389,14
WRI1002391,56
WRI1002610,56
WRI1002392,0
WRI1002394,111
WRI1002395,103
WRI1002397,58
WRI1002398,155
WRI1002403,0
WRI1002404,0
WRI1002405,0
WRI1002406,167
WRI1002407,44
WRI1002408,96
WRI1002409,143
WRI1002410,108
WRI1002412,1
WRI1002418,66
WRI1002421,91
WRI1002422,91
WRI1002423,186
WRI1002424,186
WRI1002427,269
WRI1002428,66
WRI1002429,66
WRI1002615,105
WRI1002434,105
WRI1002433,105
WRI1002437,66
WRI1002439,152
WRI1002441,152
WRI1002442,110
WRI1002445,12
WRI1002444,12
WRI1002634,6
WRI1002447,0
WRI1002448,96
WRI1002449,78
WRI1002450,36
WRI1002451,186
WRI1002452,96
WRI1002454,8
WRI1002453,20
WRI1002455,105
WRI1002459,269
WRI1002460,42
WRI1002461,269
WRI1002466,10
WRI1002465,10
WRI1002467,110
WRI1002470,117
WRI1002471,120
WRI1002472,108
WRI1002473,5
WRI1002474,5
WRI1002475,5
WRI1002476,22
WRI1002477,15
WRI1002478,15
WRI1002480,9
WRI1002481,9
WRI1002482,87
WRI1002483,135
WRI1002484,105
WRI1002485,135
WRI1002487,117
WRI1002488,21
WRI1002489,88
WRI1002492,13
WRI1002494,88
WRI1002496,24
WRI1002498,109
WRI1002499,186
WRI1002500,11
WRI1002503,25
WRI1002502,11
WRI1002504,110
WRI1002505,101
WRI1002512,160
WRI1002514,77
WRI1002516,12
WRI1002515,12
WRI1002519,155
WRI1002520,131
WRI1002523,90
WRI1002524,83
WRI1002525,17
WRI1002526,15
WRI1002531,172
WRI1002532,151
WRI1002533,196
WRI1002535,90
WRI1002538,196
WRI1002539,43
WRI1002540,96
WRI1002541,134
WRI1002613,13
WRI1002543,71
WRI1002617,24
WRI1002618,24
WRI1002552,71
WRI1002553,96
WRI1002554,110
WRI1002555,110
WRI1002556,102
WRI1002560,92
WRI1002627,25
WRI1002562,25
WRI1002563,15
WRI1002564,15
WRI1002611,15
WRI1002566,112
WRI1002567,85
WRI1002568,96
WRI1002569,11
WRI1002570,7
WRI1002572,186
WRI1002573,88
WRI1002574,100
WRI1002578,0
WRI1002580,8
WRI1002583,14
WRI1002584,115
WRI1002585,73
WRI1002586,99
WRI1002591,61
WRI1002592,142
WRI1002593,12
WRI1002594,12
WRI1002598,62
WRI1002687,34
WRI1002688,560
WRI1002689,19
WRI1024142,86
WRI1024534,136
WRI1024086,118
WRI1024549,181
WRI1025639,17
WRI1024852,130
WRI1024646,60
WRI1025409,603
WRI1025241,22
WRI1025631,35
WRI1025153,35
WRI1024338,22
WRI1024699,35
WRI1025227,116
WRI1024988,194
WRI1024662,194
WRI1025506,35
WRI1025231,203
WRI1024376,1051
WRI1025341,236
WRI1024790,178
WRI1025181,94
WRI1024682,58
WRI1024004,1114
WRI1025560,110
WRI1026697,260
WRI1024888,1717
WRI1024949,40
WRI1023962,156
WRI1024436,340
WRI1023946,147
WRI1024260,127
WRI1023971,966
WRI1025057,131
WRI1025040,7
WRI1024201,381
WRI1025738,318
WRI1025710,12
WRI1024484,15
WRI1024520,283
WRI1025017,123
WRI1025492,131
WRI1024304,248
WRI1025116,23
WRI1025740,10
WRI1025673,22
WRI1025154,23
WRI1025736,38
WRI1025313,449
WRI1024466,238
WRI1024395,143
WRI1025102,54
WRI1024408,57
WRI1024711,65
WRI1024933,141
WRI1025548,46
WRI1024461,1555
WRI1025289,1397
WRI1025185,291
WRI1024253,384
WRI1024622,77
WRI1024327,189
WRI1025588,674
WRI1024032,766
WRI1024998,178
WRI1026719,185
WRI1026718,185
WRI1024458,46
WRI1026703,997
WRI1024814,913
WRI1024606,0
WRI1024887,1073
WRI1024971,618
WRI1024413,618
WRI1024626,25
WRI1024989,172
WRI1024447,1104
WRI1023947,39
WRI1024954,244
WRI1024478,77
WRI1026741,1147
WRI1025651,531
WRI1024651,1579
WRI1024060,440
WRI1024328,98
WRI1025671,1038
WRI1025163,105
WRI1025665,165
WRI1025513,215
WRI1024438,31
WRI1024443,151
WRI1025428,464
WRI1025723,174
WRI1024581,82
WRI1023957,246
WRI1025436,1038
WRI1025505,1029
WRI1025433,742
WRI1025182,61
WRI1024955,615
WRI1024700,119
WRI1025494,317
WRI1025217,199
WRI1024139,95
WRI1025083,1438
WRI1026692,589
WRI1025552,162
WRI1024491,126
WRI1024329,145
WRI1024372,23
WRI1024184,189
WRI1024930,189
WRI1024430,111
WRI1024378,2344
WRI1025541,495
WRI1024237,599
WRI1002690,82
WRI1002691,370
WRI1002692,93
WRI1002693,146
WRI1002694,12
WRI1002695,182
WRI1002696,496
WRI1002697,34
WRI1002698,111
WRI1002699,221
WRI1002700,453
WRI1002701,202
WRI1024709,212
WRI1025251,1677
WRI1024102,19
WRI1024738,120
WRI1025172,65
WRI1025212,220
WRI1024282,332
WRI1024457,111
WRI1024305,309
WRI1025034,578
WRI1026721,367
WRI1024702,259
WRI1025442,164
WRI1024188,112
WRI1024488,98
WRI1025616,351
WRI1024097,940
WRI1025562,65
WRI1024364,159
WRI1024965,75
WRI1024452,242
WRI1024290,308
WRI1024389,35
WRI1025053,4
WRI1024272,128
WRI1024385,4
WRI1025100,4
WRI1025103,1562
WRI1024121,69
WRI1024722,113
WRI1024354,62
WRI1026713,259
WRI1025202,117
WRI1024080,114
WRI1024258,235
WRI1024291,239
WRI1024759,121
WRI1024383,143
WRI1026705,180
WRI1024789,58
WRI1025755,257
WRI1024047,201
WRI1025168,334
WRI1025255,44
WRI1024033,44
WRI1025470,44
WRI1025159,59
WRI1025393,177
WRI1025490,40
WRI1024249,31
WRI1024820,259
WRI1025388,311
WRI1024686,8
WRI1025104,345
WRI1024946,105
WRI1024190,1020
WRI1025351,168
WRI1024716,247
WRI1024540,91
WRI1025443,76
WRI1025343,428
WRI1024567,975
WRI1024283,408
WRI1025186,98
WRI1025791,114
WRI1024363,126
WRI1024799,7
WRI1025088,27
WRI1025146,432
WRI1025007,704
WRI1024703,524
WRI1024481,68
WRI1024585,148
WRI1024760,62
WRI1024672,62
WRI1024909,101
WRI1024697,301
WRI1024864,362
WRI1025260,70
WRI1024008,385
WRI1025638,59
WRI1025720,59
WRI1024310,160
WRI1025193,1030
WRI1024062,140
WRI1024396,135
WRI1024653,77
WRI1025564,7
WRI1024140,7
WRI1025174,19
WRI1024665,57
WRI1024031,109
WRI1024624,151
WRI1024960,4
WRI1025124,68
WRI1024066,1
WRI1023974,316
WRI1024456,212
WRI1024498,234
WRI1024890,584
WRI1025162,79
WRI1025128,69
WRI1025399,156
WRI1025037,115
WRI1024268,21
WRI1024136,240
WRI1024628,370
WRI1024043,141
WRI1024720,294
WRI1025596,648
WRI1025338,376
WRI1025187,215
WRI1024557,1182
WRI1025308,76
WRI1024292,359
WRI1024568,1346
WRI1025072,540
WRI1024876,46
WRI1024330,50
WRI1024403,50
WRI1025160,130
WRI1025360,659
WRI1024999,666
WRI1026732,211
WRI1024987,47
WRI1026744,225
WRI1025534,99
WRI1024126,166
WRI1025508,166
WRI1024311,90
WRI1025178,324
WRI1024426,1316
WRI1025792,684
WRI1025439,160
WRI1024742,271
WRI1026693,429
WRI1025681,33
WRI1024831,103
WRI1025369,203
WRI1025240,243
WRI1025373,348
WRI1025209,438
WRI1025737,179
WRI1024127,488
WRI1024181,369
WRI1024099,471
WRI1025195,54
WRI1024558,394
WRI1024687,235
WRI1025386,357
WRI1024885,98
WRI1024077,73
WRI1002702,29
WRI1002703,171
WRI1002704,225
WRI1002705,298
WRI1002706,45
WRI1002707,115
WRI1002708,78
WRI1002709,496
WRI1002710,1107
WRI1002711,0
WRI1002712,17
WRI1002713,12
WRI1002714,304
WRI1002716,88
WRI1002717,681
WRI1024219,259
WRI1025678,570
WRI1024449,570
WRI1025458,41
WRI1024339,83
WRI1024649,251
WRI1025746,4
WRI1024025,214
WRI1024843,199
WRI1025180,199
WRI1023994,209
WRI1024747,221
WRI1024189,220
WRI1025683,459
WRI1024590,117
WRI1023976,1132
WRI1024554,1564
WRI1024269,23
WRI1024504,121
WRI1025134,363
WRI1024298,89
WRI1025571,145
WRI1024541,152
WRI1024381,27
WRI1025579,36
WRI1024889,207
WRI1025555,300
WRI1025261,129
WRI1024940,123
WRI1024663,41
WRI1025059,331
WRI1025158,102
WRI1025296,259
WRI1024507,87
WRI1024157,600
WRI1024934,68
WRI1025540,861
WRI1026710,395
WRI1023973,1094
WRI1024165,217
WRI1025467,63
WRI1025170,173
WRI1025400,1063
WRI1023989,62
WRI1025129,408
WRI1026731,868
WRI1025312,357
WRI1024172,1015
WRI1026723,373
WRI1025091,197
WRI1025530,197
WRI1025009,677
WRI1024094,182
WRI1024985,218
WRI1025148,114
WRI1025229,114
WRI1025108,283
WRI1024636,73
WRI1025138,7
WRI1024570,85
WRI1024983,61
WRI1024714,306
WRI1024825,292
WRI1023977,131
WRI1023933,62
WRI1025635,222
WRI1024935,184
WRI1025624,26
WRI1024257,466
WRI1025711,466
WRI1025546,265
WRI1024455,265
WRI1025626,1
WRI1024623,100
WRI1023955,136
WRI1023980,237
WRI1024810,400
WRI1025309,41
WRI1024948,160
WRI1025765,115
WRI1024616,81
WRI1025537,87
WRI1024591,128
WRI1024001,165
WRI1024803,136
WRI1024028,129
WRI1025440,304
WRI1023975,122
WRI1024002,147
WRI1024569,154
WRI1025507,153
WRI1025111,90
WRI1025763,132
WRI1024277,1075
WRI1025764,233
WRI1025022,233
WRI1025686,68
WRI1026685,791
WRI1025376,1235
WRI1024993,333
WRI1026743,242
WRI1024270,7
WRI1024087,147
WRI1025398,89
WRI1024734,408
WRI1024186,249
WRI1025347,791
WRI1024241,30
WRI1025462,88
WRI1024815,556
WRI1025410,48
WRI1024489,118
WRI1024508,74
WRI1025529,29
WRI1024630,673
WRI1025194,61
WRI1025642,61
WRI1024473,433
WRI1024753,86
WRI1024974,96
WRI1024151,124
WRI1025489,650
WRI1025606,241
WRI1024423,593
WRI1024054,152
WRI1026684,286
WRI1025444,87
WRI1024483,127
WRI1025761,169
WRI1024193,179
WRI1024917,347
WRI1024070,347
WRI1025438,221
WRI1025570,41
WRI1025075,108
WRI1024915,12
WRI1025612,89
WRI1024340,86
WRI1026707,306
WRI1024656,120
WRI1025416,182
WRI1025041,187
WRI1025732,73
WRI1025113,79
WRI1024454,70
WRI1024103,66
WRI1024098,430
WRI1025010,49
WRI1024229,148
WRI1024279,159
WRI1025189,10
WRI1025522,304
WRI1025169,51
WRI1024130,913
WRI1023941,135
WRI1024592,62
WRI1025329,11
WRI1024943,605
WRI1024421,36
WRI1024101,103
WRI1025509,1223
WRI1025218,396
WRI1025027,308
WRI1024476,17
WRI1025474,11
WRI1024206,151
WRI1024550,197
WRI1024531,337
WRI1024058,154
WRI1024573,135
WRI1024057,237
WRI1024777,150
WRI1024357,305
WRI1025365,418
WRI1025625,144
WRI1024453,578
WRI1024812,24
WRI1024684,49
WRI1025629,369
WRI1024524,305
WRI1024532,231
WRI1024133,38
WRI1024795,228
WRI1025543,193
WRI1002715,211
WRI1025213,178
WRI1024460,1176
WRI1025024,161
WRI1024833,161
WRI1023998,177
WRI1024299,137
WRI1024382,35
WRI1024312,164
WRI1024045,123
WRI1025068,98
WRI1024046,120
WRI1025367,1002
WRI1024745,346
WRI1024362,29
WRI1024351,224
WRI1023984,895
WRI1025658,1084
WRI1025727,306
WRI1026739,183
WRI1024236,798
WRI1025364,798
WRI1002720,128
WRI1002721,87
WRI1002722,7
WRI1002723,46
WRI1025307,51
WRI1024411,93
WRI1025423,28
WRI1024313,166
WRI1024448,250
WRI1024325,346
WRI1024009,363
WRI1024100,34
WRI1024306,258
WRI1025200,231
WRI1025707,248
WRI1024609,248
WRI1025615,95
WRI1024360,381
WRI1024220,244
WRI1025375,136
WRI1025230,37
WRI1024723,125
WRI1024542,55
WRI1025086,231
WRI1024848,286
WRI1025311,63
WRI1024807,41
WRI1024543,102
WRI1025395,180
WRI1025483,187
WRI1024195,107
WRI1024196,93
WRI1025407,33
WRI1024637,58
WRI1024766,2
WRI1025762,155
WRI1024370,148
WRI1002724,259
WRI1002725,256
WRI1024544,46
WRI1025556,152
WRI1025697,165
WRI1026702,619
WRI1026733,177
WRI1025175,20
WRI1025750,1339
WRI1026700,430
WRI1025432,310
WRI1025387,29
WRI1024218,319
WRI1024387,70
WRI1024849,96
WRI1025000,195
WRI1025666,142
WRI1024150,80
WRI1024521,377
WRI1024110,406
WRI1025300,575
WRI1024964,1246
WRI1025478,35
WRI1024314,110
WRI1024222,184
WRI1023982,125
WRI1026687,938
WRI1025705,192
WRI1024982,680
WRI1002726,201
WRI1002727,213
WRI1002728,24
WRI1025219,45
WRI1024406,57
WRI1024475,220
WRI1024902,124
WRI1023972,179
WRI1025210,708
WRI1025701,125
WRI1025275,229
WRI1025267,554
WRI1025058,554
WRI1025076,1033
WRI1024284,330
WRI1025722,163
WRI1024180,169
WRI1024399,87
WRI1024667,146
WRI1024053,59
WRI1024208,312
WRI1024525,370
WRI1025361,238
WRI1024027,154
WRI1024522,302
WRI1025482,299
WRI1025603,627
WRI1024493,627
WRI1025771,11
WRI1024818,387
WRI1024197,96
WRI1024647,978
WRI1025197,14
WRI1024359,54
WRI1024765,206
WRI1024536,2225
WRI1024796,152
WRI1024769,152
WRI1024410,125
WRI1024442,565
WRI1025356,3
WRI1024147,3
WRI1023951,3
WRI1025080,192
WRI1025214,108
WRI1025384,92
WRI1024175,306
WRI1025078,173
WRI1024022,861
WRI1024341,89
WRI1024315,187
WRI1024134,122
WRI1024589,46
WRI1024545,100
WRI1024366,267
WRI1025278,193
WRI1024154,141
WRI1024017,101
WRI1024267,1154
WRI1024441,786
WRI1024854,43
WRI1025052,9
WRI1023950,157
WRI1025265,52
WRI1024242,25
WRI1024724,91
WRI1024773,145
WRI1024904,281
WRI1025715,132
WRI1024938,12
WRI1024980,861
WRI1002730,331
WRI1002731,30
WRI1002732,144
WRI1002733,60
WRI1002734,805
WRI1002735,13
WRI1024822,150
WRI1024866,150
WRI1024404,93
WRI1025694,128
WRI1025077,967
WRI1024243,81
WRI1024480,228
WRI1024830,85
WRI1024615,209
WRI1025326,89
WRI1024654,85
WRI1025283,129
WRI1024763,57
WRI1024217,242
WRI1025698,847
WRI1024679,286
WRI1025095,1864
WRI1023938,129
WRI1025590,37
WRI1025770,764
WRI1025085,119
WRI1024420,388
WRI1025268,281
WRI1024633,276
WRI1026716,279
WRI1023979,148
WRI1024106,21
WRI1025733,3
WRI1024424,145
WRI1026706,276
WRI1025539,400
WRI1023948,146
WRI1024334,150
WRI1025708,538
WRI1025152,378
WRI1025724,74
WRI1024191,64
WRI1025131,1067
WRI1026735,725
WRI1026701,414
WRI1025317,202
WRI1025545,198
WRI1025457,270
WRI1025284,88
WRI1024784,170
WRI1023991,127
WRI1025676,220
WRI1024598,92
WRI1024781,225
WRI1024800,1081
WRI1025728,139
WRI1024574,139
WRI1024718,143
WRI1024402,131
WRI1023952,89
WRI1024758,63
WRI1024638,144
WRI1024084,125
WRI1024713,136
WRI1024715,281
WRI1025753,85
WRI1025456,37
WRI1025775,18
WRI1024527,107
WRI1025049,102
WRI1025623,82
WRI1025533,2408
WRI1025760,94
WRI1025021,68
WRI1002736,17
WRI1024680,163
WRI1024342,106
WRI1024597,145
WRI1024112,78
WRI1025235,372
WRI1026686,276
WRI1024652,1199
WRI1024194,172
WRI1023990,137
WRI1024319,68
WRI1024159,137
WRI1024320,137
WRI1025397,67
WRI1024400,113
WRI1025353,79
WRI1024853,194
WRI1025133,51
WRI1025469,160
WRI1024088,62
WRI1025093,238
WRI1026745,1434
WRI1024020,80
WRI1024294,324
WRI1024160,157
WRI1024778,129
WRI1025418,858
WRI1024878,0
WRI1024850,95
WRI1024316,173
WRI1024078,174
WRI1025233,79
WRI1024173,330
WRI1024417,191
WRI1024621,227
WRI1023999,143
WRI1024285,387
WRI1025597,75
WRI1025315,78
WRI1025550,394
WRI1023945,33
WRI1025249,27
WRI1023961,38
WRI1024321,150
WRI1025045,466
WRI1025781,53
WRI1023954,283
WRI1024048,133
WRI1026737,232
WRI1025014,251
WRI1024273,118
WRI1024433,70
WRI1025663,298
WRI1024185,630
WRI1025634,94
WRI1002738,240
WRI1024064,139
WRI1023983,204
WRI1024892,186
WRI1024167,20
WRI1024900,162
WRI1025220,205
WRI1025222,61
WRI1025297,7
WRI1024884,18
WRI1002739,281
WRI1025035,1106
WRI1025578,332
WRI1025576,361
WRI1024248,67
WRI1024984,1123
WRI1024774,262
WRI1025735,787
WRI1025696,86
WRI1024205,145
WRI1024928,947
WRI1024835,947
WRI1024757,102
WRI1025594,29
WRI1024026,142
WRI1025276,30
WRI1025580,50
WRI1025392,273
WRI1024375,1250
WRI1024916,86
WRI1025703,86
WRI1024246,126
WRI1025499,163
WRI1024301,39
WRI1025273,27
WRI1025464,36
WRI1024355,36
WRI1024891,55
WRI1024894,1864
WRI1024289,146
WRI1024214,30
WRI1024607,1732
WRI1025314,876
WRI1024462,23
WRI1025011,233
WRI1024224,135
WRI1024919,18
WRI1024580,18
WRI1025652,86
WRI1025081,22
WRI1024499,149
WRI1025391,304
WRI1025270,2072
WRI1025593,1289
WRI1025228,76
WRI1025247,17
WRI1025294,99
WRI1024923,311
WRI1025362,508
WRI1025787,713
WRI1025497,596
WRI1025382,69
WRI1024706,387
WRI1025573,49
WRI1025003,221
WRI1024514,186
WRI1025719,41
WRI1024868,277
WRI1024107,127
WRI1024802,499
WRI1024605,104
WRI1025660,95
WRI1025674,114
WRI1025772,582
WRI1025036,210
WRI1025383,208
WRI1024698,803
WRI1025047,618
WRI1025786,602
WRI1024737,38
WRI1024343,179
WRI1024565,1060
WRI1025262,1060
WRI1025319,633
WRI1025029,60
WRI1025404,131
WRI1024582,49
WRI1025303,43
WRI1024352,797
WRI1025757,256
WRI1026681,706
WRI1024120,239
WRI1024981,1408
WRI1024391,311
WRI1024754,273
WRI1024710,954
WRI1025286,194
WRI1025099,60
WRI1024317,212
WRI1024419,680
WRI1024719,98
WRI1024523,360
WRI1024648,256
WRI1024886,96
WRI1025390,4
WRI1024750,491
WRI1024639,77
WRI1024113,637
WRI1026717,245
WRI1024213,274
WRI1025119,520
WRI1024439,853
WRI1024063,1309
WRI1025042,56
WRI1024779,199
WRI1024601,78
WRI1025587,172
WRI1025246,302
WRI1025520,6
WRI1025299,4
WRI1025422,4
WRI1024546,83
WRI1025337,46
WRI1025515,242
WRI1024308,26
WRI1024528,44
WRI1025019,1073
WRI1024899,226
WRI1025012,351
WRI1025767,169
WRI1025144,169
WRI1025115,574
WRI1025023,270
WRI1024913,233
WRI1024368,70
WRI1024182,25
WRI1025682,143
WRI1024693,87
WRI1024164,340
WRI1025385,453
WRI1025121,76
WRI1024212,171
WRI1025734,48
WRI1025754,290
WRI1024847,236
WRI1024613,230
WRI1024377,4
WRI1024129,12
WRI1024587,75
WRI1024819,8
WRI1025165,1163
WRI1025768,54
WRI1025020,250
WRI1024141,46
WRI1024128,893
WRI1025628,136
WRI1024518,149
WRI1025211,127
WRI1025565,329
WRI1024556,19
WRI1025342,15
WRI1025417,687
WRI1025236,272
WRI1025331,59
WRI1024093,106
WRI1025293,64
WRI1025054,29
WRI1024061,57
WRI1025110,31
WRI1024944,93
WRI1024997,93
WRI1024995,7
WRI1024792,123
WRI1024324,147
WRI1024808,410
WRI1024641,1015
WRI1025745,118
WRI1025487,54
WRI1024000,92
WRI1024132,117
WRI1025568,455
WRI1024901,78
WRI1023978,467
WRI1025695,26
WRI1025006,137
WRI1025122,137
WRI1025335,169
WRI1024050,138
WRI1025551,44
WRI1024049,105
WRI1025125,35
WRI1025350,51
WRI1025650,62
WRI1024735,151
WRI1024200,194
WRI1024300,67
WRI1023953,126
WRI1025066,102
WRI1023934,812
WRI1024495,29
WRI1024873,194
WRI1025064,194
WRI1025479,19
WRI1025784,349
WRI1024736,197
WRI1024860,182
WRI1025611,493
WRI1025778,190
WRI1024701,224
WRI1024238,718
WRI1025013,289
WRI1025067,42
WRI1025245,126
WRI1024749,299
WRI1024003,108
WRI1025644,16
WRI1026689,307
WRI1024122,420
WRI1024401,141
WRI1024725,77
WRI1024344,108
WRI1024010,181
WRI1025699,26
WRI1025333,287
WRI1025447,287
WRI1025636,186
WRI1024593,55
WRI1024131,181
WRI1025524,191
WRI1024428,147
WRI1025016,77
WRI1024123,1296
WRI1024689,219
WRI1025536,103
WRI1025526,103
WRI1024708,155
WRI1025776,419
WRI1024572,241
WRI1024192,1
WRI1023992,82
WRI1025748,23
WRI1024956,195
WRI1025790,274
